"Part";"Value";"Device";"Package";"Description";"";
"+9V";"SPAD";"SPAD";"SPAD";"";"";
"AUDIO+";"SPAD";"SPAD";"SPAD";"";"";
"AUDIO-";"SPAD";"SPAD";"SPAD";"";"";
"C1";"10n";"C050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C2";"22p";"C-TR-PH20127";"TRIM-2222-808";"";"";
"C3";"10p";"C050-020X036";"C050-020X036";"CAPACITOR, European symbol";"";
"C4";"10n";"C050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C5";"10n";"C050-025X075";"C050-025X075";"CAPACITOR, European symbol";"";
"C6";"10u";"CPOLE2,5-3";"E2,5-3";"POLARIZED CAPACITOR, European symbol";"";
"GND";"SPAD";"SPAD";"SPAD";"";"";
"L1";"5";"L-SHORT02/5";"L-02/5V";"";"";
"L2";"0.33uH";"L-SHORT02/5";"L-02/5V";"";"";
"R1";"10k";"R0202/7";"0202/7";"RESISTOR, European symbol";"";
"R2";"10k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";
"R3";"10k";"R0204/7";"0204/7";"RESISTOR, European symbol";"";
"R4";"10k";"R0202/7";"0202/7";"RESISTOR, European symbol";"";
"T1";"BC547";"BC547CBE";"TO92-CBE";"";"";
