"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"100n";"C050-020X044/V";"C050-020X044/V";"C8";"CAPACITOR, European symbol";"";
"1";"10k";"R0202/7";"0202/7";"R3";"RESISTOR, European symbol";"";
"1";"10n";"C050-020X036/V";"C050-020X036/V";"C9";"CAPACITOR, European symbol";"";
"1";"12k";"R0202/7";"0202/7";"R2";"RESISTOR, European symbol";"";
"1";"15p";"C-TR-PH201272222-808-2PIN";"TRIM-2222-808";"C3";"";"";
"2";"1n";"C025-020X036";"C025-020X036";"C5, C6";"CAPACITOR, European symbol";"";
"1";"2.2u";"CPOLE2,5-3";"E2,5-3";"C2";"POLARIZED CAPACITOR, European symbol";"";
"1";"220k";"R0202/7";"0202/7";"R6";"RESISTOR, European symbol";"";
"1";"22k";"R0202/7";"0202/7";"R4";"RESISTOR, European symbol";"";
"2";"2N3904";"2N3904";"TO92";"T1, T2";"";"";
"1";"330k";"R0202/7-V";"0202/7-V";"R5";"RESISTOR, European symbol";"";
"1";"4.7k";"R0202/7-V";"0202/7-V";"R7";"RESISTOR, European symbol";"";
"1";"470n";"C050-020X036";"C050-020X036";"C4";"CAPACITOR, European symbol";"";
"1";"470n";"C050-020X044";"C050-020X044";"C7";"CAPACITOR, European symbol";"";
"1";"47n";"C050-020X036";"C050-020X036";"C10";"CAPACITOR, European symbol";"";
"1";"6 turns #22 on BIC pen";"L-SHORT02/5";"L-02/5V";"L2";"";"";
"1";"6turns on d=0.7mm";"L-SHORT02/7V";"L-02/7V";"L1";"";"";
"1";"7p";"C050-020X036";"C050-020X036";"C1";"CAPACITOR, European symbol";"";
"1";"SL-SW-1P-2T-H";"SL-SW-1P-2T-H";"SLSW-1P2T-H";"SW1";"";"";
"4";"SPAD";"SPAD";"SPAD";"AF+, AF-, BAT+, BAT-";"";"";
